LocationID,City,Country,Coordinates
165,CHENZHOU,CHINA,"(25.7989, 113.0267)"
166,WUXI,CHINA,"(31.5667, 120.2833)"
167,ZIBO,CHINA,"(36.7831, 118.0497)"
168,JIAXING,CHINA,"(30.7522, 120.75)"
169,DALIAN,CHINA,"(38.9131, 121.61)"
170,HARBIN,CHINA,"(45.75, 126.6333)"
171,YANGZHOU,CHINA,"(32.3912, 119.4363)"
172,YIBIN,CHINA,"(28.7596, 104.64)"
173,JIANGMEN,CHINA,"(22.5833, 113.0833)"
174,JOHANNESBURG,SOUTH AFRICA,"(-26.2044, 28.0416)"
175,MEIZHOU,CHINA,"(24.2998, 116.1191)"
176,CHIFENG,CHINA,"(42.2663, 118.9223)"
177,CASABLANCA,MOROCCO,"(33.5992, -7.62)"
178,GUIYANG,CHINA,"(26.5794, 106.7078)"
179,LANGFANG,CHINA,"(39.5196, 116.7006)"
180,ZHANGJIAKOU,CHINA,"(40.8108, 114.8811)"
181,IZMIR,TURKEY,"(38.4127, 27.1384)"
182,LINFEN,CHINA,"(36.0812, 111.5087)"
183,WENZHOU,CHINA,"(27.9991, 120.6561)"
184,MONTERREY,MEXICO,"(25.6667, -100.3)"
185,LUZHOU,CHINA,"(28.8918, 105.4409)"
186,JIANGGUANCHI,CHINA,"(34.0244, 113.8201)"
187,NEIJIANG,CHINA,"(29.5872, 105.0635)"
188,PHOENIX,UNITED STATES,"(33.5722, -112.0891)"
189,YANJIANG,CHINA,"(30.1256, 104.6397)"
190,YIYANG,CHINA,"(28.5833, 112.3333)"
191,ZHAOQING,CHINA,"(23.047, 112.465)"
192,HENGSHUI,CHINA,"(37.7348, 115.686)"
193,GUIGANG,CHINA,"(23.0961, 109.6092)"
194,XIAOXITA,CHINA,"(30.7083, 111.2803)"
195,XIAMEN,CHINA,"(24.4797, 118.0819)"
196,CHUZHOU,CHINA,"(32.3062, 118.3115)"
197,FUZHOU,CHINA,"(27.9814, 116.3577)"
198,AMMAN,JORDAN,"(31.95, 35.9333)"
199,JEDDAH,SAUDI ARABIA,"(21.5428, 39.1728)"
200,SIALKOT CITY,PAKISTAN,"(32.5, 74.5333)"
201,HUIZHOU,CHINA,"(23.1115, 114.4152)"
202,QINGYUAN,CHINA,"(23.6842, 113.0507)"
203,ZHUZHOU,CHINA,"(27.8407, 113.1469)"
204,WUHU,CHINA,"(31.334, 118.3622)"
205,HECHI,CHINA,"(23.0965, 109.6091)"
206,SEATTLE,UNITED STATES,"(47.6211, -122.3244)"
207,LOUDI,CHINA,"(27.7378, 111.9974)"
208,BINZHOU,CHINA,"(37.3806, 118.0125)"
209,LIUZHOU,CHINA,"(24.3181, 109.4069)"
